beds,baths,size,size_units,lot_size,lot_size_units,zip_code,latitudes,longitudes,price
3,2.5,1580.0,sqft,1372.0,sqft,98103,47.6733,-122.3426,1095000.0
3,2.0,1328.0,sqft,859.0,sqft,98103,47.6733,-122.3426,920000.0
3,2.0,2330.0,sqft,5280.0,sqft,98103,47.6733,-122.3426,1098000.0
4,4.0,2650.0,sqft,6000.0,sqft,98103,47.6733,-122.3426,1000000.0
1,1.0,640.0,sqft,0.35,acre,98104,47.6036,-122.3256,345000.0
1,1.0,540.0,sqft,0.35,acre,98104,47.6036,-122.3256,335000.0
1,1.0,956.0,sqft,5480.0,sqft,98104,47.6036,-122.3256,870000.0
2,2.0,1425.0,sqft,0.42,acre,98104,47.6036,-122.3256,899000.0
1,1.0,630.0,sqft,0.35,acre,98104,47.6036,-122.3256,335000.0
3,2.0,1411.0,sqft,0.35,acre,98104,47.6036,-122.3256,699000.0
1,2.0,1517.0,sqft,0.32,acre,98105,47.6633,-122.3022,1350000.0
5,2.0,2300.0,sqft,3315.0,sqft,98105,47.6633,-122.3022,1266000.0
4,3.0,2478.0,sqft,4001.0,sqft,98105,47.6633,-122.3022,2095000.0
4,2.5,2172.0,sqft,3431.0,sqft,98105,47.6633,-122.3022,975000.0
3,1.0,2200.0,sqft,5000.0,sqft,98105,47.6633,-122.3022,1250000.0
4,4.5,2440.0,sqft,5000.0,sqft,98105,47.6633,-122.3022,1900000.0
5,4.0,3180.0,sqft,3400.0,sqft,98105,47.6633,-122.3022,2100000.0
3,1.0,1030.0,sqft,4480.0,sqft,98105,47.6633,-122.3022,710000.0
5,4.0,4210.0,sqft,5200.0,sqft,98105,47.6633,-122.3022,2625000.0
5,2.5,3090.0,sqft,6161.0,sqft,98105,47.6633,-122.3022,1600000.0
4,4.0,2300.0,sqft,3589.0,sqft,98105,47.6633,-122.3022,1440000.0
2,1.0,885.0,sqft,3.54,acre,98105,47.6633,-122.3022,389000.0
3,1.5,2550.0,sqft,4080.0,sqft,98105,47.6633,-122.3022,958748.0
3,2.0,1860.0,sqft,3400.0,sqft,98105,47.6633,-122.3022,1165000.0
4,2.5,2840.0,sqft,4480.0,sqft,98105,47.6633,-122.3022,1200000.0
3,3.5,1970.0,sqft,1125.0,sqft,98105,47.6633,-122.3022,868500.0
4,3.0,2570.0,sqft,4480.0,sqft,98105,47.6633,-122.3022,1555000.0
3,3.0,2650.0,sqft,8612.0,sqft,98105,47.6633,-122.3022,1600000.0
8,4.5,3600.0,sqft,4360.0,sqft,98105,47.6633,-122.3022,1500000.0
3,1.5,2120.0,sqft,3880.0,sqft,98105,47.6633,-122.3022,865000.0
3,3.5,2570.0,sqft,4094.0,sqft,98105,47.6633,-122.3022,2000000.0
4,2.0,2425.0,sqft,5500.0,sqft,98105,47.6633,-122.3022,1295000.0
2,1.0,1800.0,sqft,2613.0,sqft,98105,47.6633,-122.3022,25000000.0
3,2.0,1960.0,sqft,5000.0,sqft,98105,47.6633,-122.3022,950000.0
4,3.0,1540.0,sqft,3060.0,sqft,98105,47.6633,-122.3022,1108000.0
3,2.0,2495.0,sqft,4000.0,sqft,98105,47.6633,-122.3022,1250000.0
3,2.5,1500.0,sqft,8240.0,sqft,98105,47.6633,-122.3022,860000.0
4,2.5,1600.0,sqft,2336.0,sqft,98105,47.6633,-122.3022,699000.0
2,1.0,730.0,sqft,6200.0,sqft,98105,47.6633,-122.3022,25000000.0
4,2.0,1750.0,sqft,4950.0,sqft,98105,47.6633,-122.3022,1025000.0
4,3.0,2520.0,sqft,3000.0,sqft,98105,47.6633,-122.3022,1025000.0
4,5.5,4040.0,sqft,8965.0,sqft,98105,47.6633,-122.3022,5495000.0
4,2.0,2010.0,sqft,9612.0,sqft,98105,47.6633,-122.3022,1250000.0
5,3.5,4397.0,sqft,6800.0,sqft,98105,47.6633,-122.3022,3400000.0
4,4.0,2850.0,sqft,4900.0,sqft,98105,47.6633,-122.3022,1755000.0
1,1.0,594.0,sqft,0.39,acre,98105,47.6633,-122.3022,405000.0
4,3.5,3240.0,sqft,5600.0,sqft,98105,47.6633,-122.3022,2675000.0
4,2.5,2380.0,sqft,5000.0,sqft,98105,47.6633,-122.3022,1900000.0
2,3.0,2943.0,sqft,3.06,acre,98105,47.6633,-122.3022,1650000.0
6,7.0,4570.0,sqft,0.29,acre,98105,47.6633,-122.3022,1950000.0
3,2.0,1098.0,sqft,2320.0,sqft,98105,47.6633,-122.3022,864950.0
2,2.5,1330.0,sqft,856.0,sqft,98105,47.6633,-122.3022,699950.0
2,2.0,2340.0,sqft,6802.0,sqft,98105,47.6633,-122.3022,1398000.0
2,2.5,1538.0,sqft,900.0,sqft,98105,47.6633,-122.3022,895000.0
3,2.0,1596.0,sqft,0.64,acre,98105,47.6633,-122.3022,505000.0
4,3.5,2950.0,sqft,5000.0,sqft,98105,47.6633,-122.3022,1800000.0
3,2.0,2250.0,sqft,8030.0,sqft,98105,47.6633,-122.3022,2080000.0
4,3.0,2980.0,sqft,4480.0,sqft,98105,47.6633,-122.3022,1090000.0
3,5.5,1730.0,sqft,1766.0,sqft,98105,47.6633,-122.3022,850000.0
2,2.0,1057.0,sqft,0.28,acre,98105,47.6633,-122.3022,599900.0
2,1.0,1860.0,sqft,2526.0,sqft,98105,47.6633,-122.3022,898000.0
2,2.0,1510.0,sqft,7200.0,sqft,98105,47.6633,-122.3022,915000.0
4,2.0,2080.0,sqft,3850.0,sqft,98105,47.6633,-122.3022,975000.0
4,2.0,1742.0,sqft,1.25,acre,98105,47.6633,-122.3022,781000.0
5,3.0,4040.0,sqft,4320.0,sqft,98105,47.6633,-122.3022,1650000.0
6,5.0,3300.0,sqft,6800.0,sqft,98105,47.6633,-122.3022,3598950.0
4,2.0,2390.0,sqft,5535.0,sqft,98105,47.6633,-122.3022,1195000.0
