beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,lat,lon
3,2.0,1700,sqft,5346.0,sqft,98115,1150000,47.6849,-122.2968
4,3.5,1909,sqft,1544.0,sqft,98103,1500000,47.6733,-122.3426
3,2.0,2180,sqft,3740.0,sqft,98117,1012000,47.6873,-122.3772
3,3.0,1460,sqft,7200.0,sqft,98144,1000000,47.5846,-122.3005
2,1.0,1010,sqft,6750.0,sqft,98125,549950,47.717,-122.3015
3,1.0,990,sqft,8100.0,sqft,98146,635000,47.4995,-122.3603
2,2.0,1164,sqft,8280.0,sqft,98117,706474,47.6873,-122.3772
1,1.0,583,sqft,12632.4,sqft,98119,349000,47.6379,-122.3643
4,2.0,2740,sqft,6000.0,sqft,98119,1400000,47.6379,-122.3643
3,2.0,1670,sqft,5400.0,sqft,98118,485000,47.5412,-122.275
3,1.0,830,sqft,7800.0,sqft,98125,660000,47.717,-122.3015
2,2.0,1200,sqft,1247.0,sqft,98122,705000,47.6116,-122.3056
3,3.5,2530,sqft,1880.0,sqft,98102,1299000,47.6302,-122.321
4,3.0,2660,sqft,5100.0,sqft,98117,1360000,47.6873,-122.3772
4,2.0,2820,sqft,4764.0,sqft,98117,1441000,47.6873,-122.3772
2,1.0,1011,sqft,10454.4,sqft,98103,159488,47.6733,-122.3426
2,1.5,1088,sqft,1518.0,sqft,98106,590000,47.5344,-122.3547
6,3.5,3785,sqft,5150.0,sqft,98117,3150000,47.6873,-122.3772
3,2.0,1540,sqft,1102.0,sqft,98144,630000,47.5846,-122.3005
2,1.5,1180,sqft,10890.0,sqft,98168,575000,47.4889,-122.3012
3,3.5,1968,sqft,1498.0,sqft,98199,980000,47.6488,-122.3964
1,1.0,610,sqft,25700.399999999998,sqft,98119,340000,47.6379,-122.3643
2,2.0,1346,sqft,23086.800000000003,sqft,98116,800000,47.5746,-122.3934
2,2.5,1320,sqft,1030.0,sqft,98133,570000,47.7377,-122.3431
3,3.5,3064,sqft,25700.399999999998,sqft,98121,2450000,47.6151,-122.3447
3,2.0,2980,sqft,5800.0,sqft,98115,1415000,47.6849,-122.2968
4,3.5,3050,sqft,6146.0,sqft,98102,2250000,47.6302,-122.321
3,2.0,2020,sqft,7200.0,sqft,98133,917500,47.7377,-122.3431
3,2.5,1926,sqft,1483.0,sqft,98122,1148000,47.6116,-122.3056
2,1.0,1330,sqft,7425.0,sqft,98125,479000,47.717,-122.3015
3,2.0,2410,sqft,4950.0,sqft,98199,1083000,47.6488,-122.3964
2,2.5,1580,sqft,5000.0,sqft,98106,699000,47.5344,-122.3547
3,1.0,1030,sqft,4480.0,sqft,98105,710000,47.6633,-122.3022
3,3.0,1630,sqft,6721.0,sqft,98168,615000,47.4889,-122.3012
4,2.5,2370,sqft,3600.0,sqft,98146,750000,47.4995,-122.3603
4,1.0,1310,sqft,6000.0,sqft,98146,735000,47.4995,-122.3603
3,2.0,1996,sqft,4656.0,sqft,98117,986500,47.6873,-122.3772
3,2.0,1580,sqft,6396.0,sqft,98126,820000,47.5444,-122.3735
4,2.0,2360,sqft,6120.0,sqft,98115,950000,47.6849,-122.2968
3,2.0,1496,sqft,43560.0,sqft,98144,824500,47.5846,-122.3005
2,2.5,1250,sqft,1027.0,sqft,98117,725000,47.6873,-122.3772
4,2.5,2380,sqft,5000.0,sqft,98105,1900000,47.6633,-122.3022
2,2.0,1095,sqft,617.0,sqft,98177,599950,22.7912,-102.632
2,2.0,1080,sqft,1175.0,sqft,98106,533500,47.5344,-122.3547
2,2.0,1146,sqft,800.0,sqft,98112,845000,47.6301,-122.2972
4,2.5,1544,sqft,2352.0,sqft,98117,850000,47.6873,-122.3772
1,1.0,707,sqft,11325.6,sqft,98122,590000,47.6116,-122.3056
4,3.0,2067,sqft,43560.0,sqft,98122,1074900,47.6116,-122.3056
4,3.0,2360,sqft,7200.0,sqft,98115,1360000,47.6849,-122.2968
2,2.0,724,sqft,5400.0,sqft,98103,430000,47.6733,-122.3426
5,2.5,2180,sqft,4069.0,sqft,98118,1009975,47.5412,-122.275
3,2.0,1960,sqft,4400.0,sqft,98199,955000,47.6488,-122.3964
1,1.0,727,sqft,5250.0,sqft,98103,445000,47.6733,-122.3426
3,2.0,1209,sqft,752.0,sqft,98116,725000,47.5746,-122.3934
5,3.0,3070,sqft,3400.0,sqft,98117,1450000,47.6873,-122.3772
4,2.5,2130,sqft,6250.0,sqft,98136,960000,47.5398,-122.3878
4,2.5,2220,sqft,3770.0,sqft,98144,1235000,47.5846,-122.3005
4,3.0,2288,sqft,6550.0,sqft,98126,1105000,47.5444,-122.3735
5,3.0,3120,sqft,7865.0,sqft,98178,795000,47.4924,-122.2359
4,2.5,2180,sqft,6099.0,sqft,98115,1275000,47.6849,-122.2968
3,2.0,1590,sqft,3000.0,sqft,98146,560000,47.4995,-122.3603
3,1.5,2220,sqft,6270.0,sqft,98115,930000,47.6849,-122.2968
1,1.0,574,sqft,50965.2,sqft,98109,280000,47.6339,-122.3476
4,2.0,2480,sqft,5996.0,sqft,98122,825000,47.6116,-122.3056
4,3.0,3320,sqft,5750.0,sqft,98116,750000,47.5746,-122.3934
2,1.0,1720,sqft,5017.0,sqft,98118,575000,47.5412,-122.275
3,2.0,2050,sqft,5000.0,sqft,98109,1265000,47.6339,-122.3476
4,3.0,2370,sqft,3880.0,sqft,98115,1830000,47.6849,-122.2968
4,5.0,3660,sqft,12632.4,sqft,98118,2695000,47.5412,-122.275
3,3.5,1670,sqft,905.0,sqft,98107,1115000,47.6701,-122.3763
